Reciept No.,Transaction Date rec,Breakfast/Lunch freq,Pay Method,Pay Amaount,member id
2214,01-10-2024,1,online,2000,NB001
2232,01-10-2024,1,online,4200,NB002
2245,01-10-2024,1,online,500,NB003
2269,01-10-2024,2,online,780,NB004
2285,01-10-2024,2,card,560,NB005
2298,02-10-2024,1,card,682,NB006
2299,02-10-2024,1,card,590,NB007
3147,02-10-2024,1,card,258,NB008
3156,02-10-2024,1,card,2200,NB009
3160,02-10-2024,2,cash,7895,NB010
3163,03-10-2024,2,cash,2300,NB011
3165,03-10-2024,2,cash,5454,NB012
3169,03-10-2024,1,cash,898,NB013
3171,03-10-2024,1,cash,452,NB014
3189,03-10-2024,1,online,5695,NB015
4152,03-10-2024,1,online,8785,NB016
4156,03-10-2024,1,online,545,NB017
4165,03-10-2024,2,online,2323,NB018
4169,03-10-2024,2,online,856,NB019
4178,03-10-2024,2,card,585,NB020
4189,04-10-2024,1,card,6578,NB007
4199,04-10-2024,1,card,2563,NB008
5012,04-10-2024,1,online,2000,NB009
5022,04-10-2024,1,online,4200,NB010
5027,04-10-2024,1,online,500,NB011
5032,04-10-2024,2,online,780,NB012
5044,04-10-2024,2,card,560,NB013
5046,04-10-2024,1,card,682,NB014
5049,05-10-2024,1,card,590,NB015
5052,05-10-2024,1,card,2000,NB016
5057,05-10-2024,1,card,4200,NB017
5065,05-10-2024,2,cash,500,NB018
5069,05-10-2024,2,cash,780,NB002
5073,05-10-2024,2,cash,560,NB003
5077,05-10-2024,1,cash,682,NB004
5079,05-10-2024,1,cash,590,NB005
5083,05-10-2024,1,online,258,NB006
5087,05-10-2024,1,online,2200,NB007
5098,05-10-2024,1,online,7895,NB008
7251,05-10-2024,2,online,2300,NB009
7265,06-10-2024,2,online,5454,NB010
7289,06-10-2024,2,card,898,NB011
7299,06-10-2024,1,card,6578,NB012
7389,06-10-2024,1,card,2563,NB013
7445,06-10-2024,1,online,2000,NB014
7464,06-10-2024,1,online,4200,NB015
7469,06-10-2024,1,online,500,NB008
7498,06-10-2024,2,online,780,NB009
7517,06-10-2024,2,card,560,NB010
7523,06-10-2024,1,card,682,NB011
7555,06-10-2024,1,card,590,NB012
7569,06-10-2024,1,card,258,NB013
7577,06-10-2024,1,card,2200,NB014
7589,06-10-2024,2,cash,7895,NB015
7595,06-10-2024,2,cash,2300,NB016
7817,07-10-2024,2,cash,5454,NB017
7832,07-10-2024,1,cash,898,NB018
7845,07-10-2024,1,cash,452,NB019
7855,07-10-2024,1,online,5695,NB020
7865,07-10-2024,1,online,8785,NB007
7869,07-10-2024,1,online,545,NB009
7912,07-10-2024,2,online,2323,NB010
7955,07-10-2024,2,online,856,NB011
8145,07-10-2024,2,card,585,NB012
8199,07-10-2024,1,card,6578,NB013
8274,08-10-2024,1,card,2563,NB014
8289,08-10-2024,1,online,2000,NB015
8356,08-10-2024,1,online,4200,NB008
8389,08-10-2024,1,online,500,NB009
8445,08-10-2024,2,online,780,NB010
8468,08-10-2024,2,card,560,NB011
8478,08-10-2024,1,card,682,NB012
8498,08-10-2024,1,card,590,NB013
8512,08-10-2024,1,card,258,NB014
8537,08-10-2024,1,card,2200,NB015
8545,08-10-2024,2,cash,7895,NB012
8550,08-10-2024,2,cash,2300,NB013
8555,09-10-2024,2,cash,5454,NB014
8598,09-10-2024,1,cash,898,NB015
8599,09-10-2024,1,cash,452,NB008
8612,09-10-2024,1,online,5695,NB009
8621,09-10-2024,1,online,8785,NB010
8645,09-10-2024,1,online,545,NB011
8655,09-10-2024,2,online,2323,NB012
8659,09-10-2024,2,online,856,NB013
8665,09-10-2024,2,card,585,NB014
8674,10-10-2024,1,card,6578,NB015
8689,10-10-2024,1,card,2563,NB016
8695,10-10-2024,1,online,2000,NB017
8714,10-10-2024,1,online,4200,NB018
8725,10-10-2024,1,online,500,NB019
8734,10-10-2024,2,online,780,NB020
8745,10-10-2024,2,card,560,NB007
8751,10-10-2024,1,card,682,NB013
8755,10-10-2024,1,card,590,NB014
8758,10-10-2024,1,card,258,NB015
8765,10-10-2024,1,card,2200,NB008
8769,10-10-2024,2,cash,7895,NB009
8775,11-10-2024,2,cash,2300,NB010
8779,11-10-2024,2,cash,5454,NB011
8784,11-10-2024,1,cash,898,NB012
8787,11-10-2024,1,cash,452,NB013
8798,11-10-2024,1,online,5695,NB014
8799,11-10-2024,1,online,8785,NB015
8811,11-10-2024,1,online,545,NB012
8823,11-10-2024,2,online,2323,NB013
8832,11-10-2024,2,online,856,NB014
8845,11-10-2024,2,card,585,NB015
8851,12-10-2024,1,card,6578,NB008
8864,12-10-2024,1,card,2563,NB012
8873,12-10-2024,1,online,2000,NB013
8877,12-10-2024,1,online,4200,NB014
8880,12-10-2024,1,online,500,NB015
8888,12-10-2024,2,online,780,NB016
8894,12-10-2024,2,card,560,NB017
8899,12-10-2024,1,card,682,NB018
8910,12-10-2024,1,card,590,NB019
8945,12-10-2024,1,card,258,NB020
8951,13-10-2024,1,card,2200,NB007
8954,13-10-2024,2,cash,7895,NB013
8961,13-10-2024,2,cash,2300,NB014
8966,13-10-2024,2,cash,5454,NB015
8967,13-10-2024,1,cash,898,NB008
